sample,date,laboratory,site,stratigraphy,artefact,part,decoration,LOI,CaO,Fe2O3,TiO2,K2O,SiO2,Al2O3,MgO,MnO,Na2O,P2O5,Zr,Sr,Rb,Zn,Cr,Ni,La,Ba,V,Ce,Y,Th,Pb,Cu
BDX15044,2012-03-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,loom weight,body,0,10.93,17.5000,5.7700,0.9410,1.8800,52.2200,18.1000,2.8400,0.0444,0.0000,0.1300,240,512,98,54,79,29,39,477,123,73,31,11,31,20
BDX15045,2012-03-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,loom weight,body,0,10.80,19.1400,4.5400,0.8900,1.5400,52.3400,16.7600,3.9100,0.0557,0.0000,0.1700,249,734,78,79,77,36,60,575,112,141,98,11,28,26
BDX15046,2012-03-10,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,cup,rim,0,10.06,16.4700,4.8000,0.9510,1.9000,51.3800,19.8500,3.6100,0.0446,0.0000,0.1800,242,679,101,59,89,26,80,616,103,161,40,8,37,33
BDX15047,2012-03-10,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,cup,rim,1,7.50,16.6700,4.9400,1.0270,1.7600,50.3200,21.6200,3.1700,0.0399,0.0000,0.1700,221,617,98,53,83,26,59,576,101,105,31,14,34,26
BDX15048,2012-03-10,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,cup,rim,1,5.56,14.3800,4.6700,1.0460,1.8900,52.1900,22.3000,3.0200,0.0405,0.0000,0.1800,222,512,107,55,87,27,55,482,109,96,34,11,36,21
BDX15049,2012-03-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,cup,rim,1,3.16,14.1600,4.7900,1.0680,1.7800,52.3400,22.5800,2.8500,0.0379,0.0000,0.1600,228,382,104,52,87,27,57,326,95,109,31,16,37,25
BDX15050,2012-03-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,cup,fond,1,9.51,14.5900,4.6100,1.0120,1.8400,52.3600,21.5400,3.3200,0.0357,0.0000,0.1700,221,689,99,58,88,28,51,610,98,102,30,10,35,18
BDX15051,2012-03-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,cup,rim,0,9.60,15.8900,4.5800,1.0600,1.7200,51.6900,20.8100,3.4000,0.0374,0.0000,0.1400,231,643,97,51,86,18,48,576,107,88,29,13,32,18
BDX15052,2012-03-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,cup,rim,1,10.20,14.7300,4.0000,1.0250,1.8800,53.8300,20.4700,2.6300,0.0366,0.0000,0.1600,247,651,97,54,78,24,79,537,106,197,61,8,32,23
BDX15053,2012-03-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,cup,rim,0,8.89,14.6000,4.2500,1.0900,2.2000,53.5200,20.7500,2.9200,0.0455,0.0000,0.2100,258,660,128,72,97,29,66,617,155,243,145,11,30,22
BDX15054,2012-03-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,urn,rim,0,17.76,14.3400,4.9100,0.9540,1.8500,50.4100,21.3100,5.3600,0.0439,0.0000,0.1600,205,586,99,67,82,30,57,540,110,117,32,9,36,28
BDX15055,2012-03-12,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,cup,rim,0,7.66,15.6300,4.8200,1.0480,1.8400,51.7800,21.4400,3.1300,0.0389,0.0000,0.1700,235,554,101,53,83,22,43,517,100,92,31,11,30,21
BDX15056,2012-03-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,goblet,rim,0,14.99,15.3900,4.9300,1.0560,1.7400,52.4200,21.1400,2.0800,0.0309,0.0000,0.1600,226,826,83,62,78,38,51,643,95,95,29,8,33,22
BDX15057,2012-03-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,urn,rim,0,7.30,16.0100,4.9400,1.0660,1.7600,51.2500,21.4600,3.0900,0.0385,0.0000,0.1800,229,598,93,56,82,32,48,581,107,95,27,14,29,21
BDX15058,2012-03-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,storage jar,rim,0,14.63,15.9200,5.2600,0.9980,1.6800,51.9800,20.0600,2.7800,0.0408,0.0300,0.1600,224,882,85,59,75,27,68,762,95,84,25,6,24,19
BDX15059,2012-03-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,cup,rim,0,14.94,13.0500,4.4700,1.1380,2.0900,54.6400,21.5600,2.1900,0.0318,0.0000,0.1900,268,848,107,77,92,41,84,803,131,208,145,11,32,29
BDX15060,2012-03-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,cup,rim,0,7.06,16.5400,5.3900,0.9200,2.0800,49.3800,20.5500,4.0800,0.0499,0.0000,0.1800,201,544,112,72,85,44,55,501,102,110,31,12,35,32
BDX15061,2012-03-13,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,storage jar,rim,0,10.43,15.1400,4.4600,1.0220,2.0300,52.3900,19.4100,4.8900,0.0470,0.0000,0.1900,251,642,114,82,88,42,76,557,128,180,108,10,29,26
BDX15445,2012-07-11,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,loom weight,body,0,5.57,16.4300,6.2700,0.9480,1.9800,50.1500,19.8200,3.0600,0.0471,0.0000,0.1700,206,393,109,57,165,39,50,393,125,115,31,11,35,26
BDX15446,2012-07-11,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,storage jar,rim,0,13.96,19.8300,4.6500,0.9200,1.9100,49.3500,19.5300,2.9100,0.0357,0.0000,0.1500,200,540,99,57,84,35,59,382,102,114,27,10,21,28
BDX15447,2012-07-11,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,storage jar,rim,1,11.31,13.4200,5.4200,1.1060,1.8900,54.3000,20.4500,2.7700,0.0342,0.0000,0.1100,247,499,89,48,89,33,43,403,115,108,28,15,38,16
BDX15448,2012-07-11,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,storage jar,rim,0,13.54,15.6800,5.2000,0.9980,1.9200,52.0400,21.0100,2.4800,0.0355,0.0000,0.1400,213,579,100,58,83,24,47,478,102,78,27,12,30,26
BDX15449,2012-07-11,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15205,storage jar,fond,0,12.03,17.4800,5.1900,0.9690,1.8600,50.8100,20.5700,2.6400,0.0384,0.0000,0.1300,213,472,102,55,84,30,44,376,111,89,28,16,37,28
