"material","sample","date","laboratory","site","stratigraphy","artefact","part","decoration","LOI","CaO","Fe2O3","TiO2","K2O","SiO2","Al2O3","MgO","MnO","P2O5","Zr","Sr","Rb","Zn","Cr","Ni","La","Ba","V","Ce","Y","Cu","phase"
"37","céramique","BDX15451","2012-07-11","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","pot","body",TRUE,9.41,20.37,4.52,0.906,1.92,49.07,19.39,3.02,0.0387,0.15,0.0199,0.0524,0.01,0.006,0.0071,0.0031,0.0044,0.0404,0.0103,0.0117,0.0027,0.0029,2
"38","céramique","BDX15452","2012-07-11","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","plate","rim",TRUE,8.11,16.53,4.55,0.981,1.83,51.68,20.92,2.72,0.0355,0.14,0.0223,0.0421,0.0102,0.0053,0.008,0.0032,0.0064,0.038,0.0116,0.0137,0.0029,0.0034,2
"39","céramique","BDX15453","2012-07-11","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","lid","rim",TRUE,7.17,17.35,5.15,0.986,1.95,51.16,20.27,3.1,0.0417,0.17,0.023,0.0476,0.0107,0.0061,0.0081,0.0022,0.0073,0.0426,0.0105,0.0125,0.003,0.0019,2
"40","céramique","BDX15454","2012-07-11","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","pot","rim",FALSE,5.42,15.18,4.82,1.02,1.88,52.68,21.59,2.79,0.0358,0.17,0.0237,0.0396,0.0106,0.0057,0.0086,0.0029,0.008,0.0359,0.0114,0.0159,0.0032,0.0027,2
"41","céramique","BDX15455","2012-07-11","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","pot","rim",FALSE,7.11,17.58,4.9,0.964,1.95,50.5,20.37,3.06,0.0404,0.16,0.0213,0.0401,0.0107,0.0052,0.008,0.0043,0.0024,0.0336,0.0106,0.0094,0.003,0.0028,2
"42","céramique","BDX15456","2012-07-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","storage jar","rim",FALSE,9.77,15.36,4.28,1.022,2.04,52.94,19.81,3.95,0.0428,0.18,0.0249,0.0486,0.0111,0.007,0.0078,0.0038,0.01,0.042,0.0128,0.0176,0.0083,0.0027,2
"43","céramique","BDX15457","2012-07-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","cup","rim",TRUE,5.81,15.92,4.96,1.017,1.86,50.69,21.56,3.17,0.0378,0.15,0.0218,0.039,0.01,0.0051,0.0084,0.0037,0.0024,0.0359,0.0108,0.0102,0.0032,0.0023,2
"44","céramique","BDX15458","2012-07-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","cup","rim",TRUE,13.99,11.63,5.26,0.995,1.94,53.68,20.16,5.74,0.0423,0.17,0.0248,0.0752,0.0092,0.006,0.0073,0.0033,0.0085,0.0559,0.0115,0.016,0.0033,0.0033,2
"45","céramique","BDX15459","2012-07-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","cup","rim",TRUE,6.8,15.6,4.8,1.03,1.87,51.62,21.57,3,0.0388,0.15,0.0219,0.0439,0.0105,0.0052,0.0082,0.0026,0.0051,0.0433,0.0114,0.011,0.003,0.0027,2
"46","céramique","BDX15460","2012-07-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15227","kalathos","rim",TRUE,5.11,17.1,5.37,1.002,1.78,50.45,20.35,3.07,0.043,0.17,0.0234,0.0429,0.0103,0.0052,0.008,0.0031,0.006,0.0448,0.0083,0.0134,0.0031,0.0022,2
